| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 174  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 175  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 176  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 177  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 178  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 179  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 180  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 181  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 182  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 183  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 184  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 185  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 186  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 187  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 188  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 189  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 190  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 191  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 192  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 193  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 194  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 195  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 196  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 197  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 198  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 199  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 200  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
